"Playoff.Wins","FGA","FG_perc","X3PA","X3P_perc","FTA","FT_perc","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","O_FGA","O_FG_perc","O_3PA","O_3P_perc","O_2P","O_FTA","O_FT_perc","O_ORB","O_DRB","O_AST","O_STL","O_BLK","O_TOV","O_PF","O_PTS","W","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","X3PAr","eFG_perc","TOV_perc","ORB_perc","FT.FGA","eFG_perc_1","TOV_perc_2","DRB_perc","FT.FGA_3","Attendance"
0,22,10,3,12,8,18,27,17,27,17,2,25,24,24,8,17,14,29,24,8,26,2,26,22,23,27,12,1,9,20,20,19,23,20,17,17,3,7,3,5,24,28,5,19,4,24,22,20
0,9,8,8,20,7,24,9,25,17,5,1,2,16,27,7,12,13,5,9,16,25,24,29,18,8,21,25,3,4,15,8,9,9,8,7,11,10,8,10,8,10,11,13,10,2,29,25,25
0,17,12,20,4,27,3,19,5,14,16,19,16,21,26,16,11,8,15,8,11,27,23,8,10,9,22,8,23,27,13,17,20,22,19,20,15,17,26,20,13,23,19,22,8,23,8,27,5
16,21,10,13,8,16,26,15,11,12,14,17,2,8,5,18,6,3,1,24,10,6,25,4,10,1,9,23,11,13,1,2,1,15,1,8,1,23,12,11,6,12,12,21,1,6,3,11,9
15,23,17,22,23,13,23,6,10,4,12,20,3,11,2,24,12,5,4,4,9,2,12,7,5,4,13,8,21,18,2,5,6,29,6,17,3,30,11,22,23,14,4,14,5,18,5,3,1
11,26,1,16,3,2,30,25,2,7,11,28,6,9,11,4,20,4,11,10,11,16,19,6,9,5,14,1,26,2,8,2,3,30,4,5,6,15,1,15,2,11,25,10,4,26,2,14,4
9,2,2,1,1,19,22,19,1,1,3,22,9,7,1,1,30,14,28,3,30,1,5,30,26,15,19,4,22,26,30,1,2,16,2,1,17,1,26,1,1,3,22,24,10,28,29,1,11
6,7,8,15,6,5,4,14,8,8,26,4,7,4,13,3,22,8,25,1,16,14,15,27,19,11,7,15,7,12,14,4,4,13,3,4,9,9,9,17,8,4,17,3,8,9,23,12,3
6,30,25,6,24,10,2,28,18,28,29,16,19,16,20,25,4,10,2,23,8,21,3,15,12,2,4,14,20,14,5,14,15,20,13,20,11,29,4,4,18,20,26,1,7,17,15,20,17
6,20,18,2,5,15,3,8,27,23,30,24,23,6,25,11,7,25,17,14,13,15,10,8,1,10,2,12,26,6,13,6,7,9,8,2,27,27,13,2,5,9,2,11,23,23,16,18,21
4,5,24,8,25,1,24,1,23,9,28,3,20,15,9,6,23,24,27,22,22,9,20,21,23,27,8,18,3,3,23,11,16,25,17,10,19,5,2,9,22,7,5,8,25,7,25,8,14
3,19,3,17,19,4,14,23,16,24,9,8,13,26,27,5,18,13,26,13,14,29,14,25,13,25,29,16,8,7,22,11,13,27,14,9,14,6,6,16,3,25,23,5,14,11,24,27,24
3,24,20,7,7,26,7,27,3,13,16,23,16,12,9,20,9,2,22,4,4,12,2,3,16,8,12,3,25,23,3,7,5,11,5,15,4,24,22,7,11,16,27,19,3,24,1,15,23
2,16,26,11,13,21,21,13,4,2,15,20,18,30,29,21,14,1,10,2,5,26,7,17,24,12,26,24,9,11,7,10,12,26,12,27,2,11,21,10,24,30,18,22,2,8,7,22,2
1,14,4,24,26,6,15,19,12,16,2,2,4,22,17,8,15,15,21,9,15,20,9,16,15,20,22,27,2,4,17,9,10,12,10,16,8,4,7,24,15,18,19,6,15,4,11,16,12
1,6,22,10,20,11,5,23,7,15,21,1,24,23,17,10,16,11,30,18,7,24,24,12,28,26,25,10,1,9,19,16,17,24,18,24,10,2,14,12,20,22,29,12,18,1,6,24,10
1,3,7,12,4,24,6,11,13,11,1,7,26,1,3,2,29,23,19,15,29,7,1,28,25,18,17,7,14,25,26,8,9,6,9,3,23,8,27,14,4,1,15,23,21,20,28,5,13
0,29,16,9,12,23,19,25,28,30,20,5,5,19,22,23,3,6,5,11,3,19,26,20,8,6,16,29,4,17,4,11,7,7,7,19,5,25,16,7,9,23,24,17,6,2,26,26,19
0,24,29,19,11,22,16,29,22,29,13,10,28,14,26,29,2,9,20,26,1,25,6,2,22,7,10,16,6,15,6,17,19,23,21,26,7,21,18,19,28,17,28,18,11,3,4,28,26
16,19,2,12,20,8,29,21,2,1,17,29,8,16,15,6,22,8,18,18,7,19,10,3,7,9,9,3,28,5,14,5,5,28,6,7,9,12,6,10,2,19,17,15,10,29,1,17,4
14,18,7,21,9,5,6,5,16,6,29,13,4,5,11,9,6,10,4,19,8,15,23,17,1,2,4,17,20,4,7,3,3,21,3,1,11,27,5,21,10,8,2,3,8,16,17,19,3
10,11,12,10,3,26,23,9,24,19,2,16,3,1,1,19,14,13,2,1,23,1,8,19,9,5,1,2,21,26,3,1,2,30,2,4,5,29,28,12,7,1,7,26,11,14,25,1,1
10,1,1,1,1,30,1,30,3,10,1,22,12,3,3,1,30,17,24,20,30,5,1,29,30,6,16,1,8,30,28,4,4,20,4,2,16,1,30,1,1,2,30,30,17,23,19,2,12
7,17,16,9,24,6,22,11,9,4,24,18,16,9,6,15,19,18,11,14,17,6,13,2,15,15,8,9,27,19,10,6,8,19,8,9,14,19,7,9,13,10,10,7,18,27,4,5,5
7,15,6,29,21,19,3,26,1,2,14,24,1,15,16,17,25,4,20,5,12,16,4,6,16,22,10,8,30,24,11,9,11,5,9,18,8,10,17,29,18,17,25,9,5,30,3,11,13
7,20,4,16,2,29,28,23,7,12,10,23,6,7,5,21,11,3,1,3,15,3,11,12,14,1,21,6,23,28,2,2,1,23,1,10,1,23,27,15,3,13,20,29,1,19,8,4,8
5,23,27,11,28,13,9,27,8,17,4,20,27,6,20,24,3,7,16,6,3,20,12,1,27,11,15,4,15,14,6,7,13,26,13,25,4,18,11,8,25,12,29,10,9,9,2,25,19
3,9,19,5,19,17,15,10,10,7,9,5,20,10,18,7,23,12,17,12,14,13,19,13,9,17,4,7,18,8,15,10,7,15,7,8,15,15,18,7,11,9,8,19,12,21,9,13,7
2,4,22,8,5,25,17,14,4,3,6,30,21,24,28,13,21,1,25,8,4,29,30,10,26,14,23,23,6,16,16,14,14,22,14,23,7,5,29,13,16,20,19,27,3,11,5,29,2
2,24,24,7,18,18,19,16,6,8,19,11,13,26,9,23,20,5,3,4,13,9,5,23,13,4,27,15,24,23,5,14,9,27,10,21,3,20,12,4,19,27,12,16,2,25,15,8,24
2,13,14,14,16,16,5,22,13,18,5,8,26,20,2,10,28,15,14,9,24,2,20,20,23,18,26,18,11,15,17,11,12,12,11,11,12,9,16,14,12,18,26,11,13,15,18,3,14
2,7,21,15,15,2,12,3,25,15,25,3,22,10,12,3,18,23,21,21,19,18,16,21,20,23,6,5,2,3,21,13,10,29,12,6,22,7,3,16,21,4,6,4,24,2,26,18,15
1,6,8,22,30,7,16,15,11,14,3,2,7,23,13,5,29,15,28,17,21,11,6,22,18,29,14,26,3,10,23,11,15,9,15,17,13,2,10,23,15,14,16,12,20,4,20,6,16
1,10,18,17,4,20,18,12,14,16,8,12,30,19,19,13,9,24,22,13,15,21,21,4,19,25,22,22,14,6,19,17,16,16,16,14,23,13,20,18,14,16,11,22,23,12,6,21,20
0,30,20,6,8,23,27,25,21,28,22,10,8,8,7,27,2,6,6,2,5,4,25,16,11,10,18,29,9,17,1,7,6,14,5,16,2,30,14,3,8,21,21,20,4,3,21,10,26
16,27,3,7,3,24,17,28,4,16,11,15,10,4,1,14,13,4,2,2,14,1,6,4,8,1,12,8,24,24,1,3,1,16,1,5,2,27,20,6,2,10,27,20,2,20,3,1,9
