"Playoff.Wins","FGA","FG_perc","X3PA","X3P_perc","FTA","FT_perc","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","O_FGA","O_FG_perc","O_3PA","O_3P_perc","O_2P","O_FTA","O_FT_perc","O_ORB","O_DRB","O_AST","O_STL","O_BLK","O_TOV","O_PF","O_PTS","W","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","X3PAr","eFG_perc","TOV_perc","ORB_perc","FT.FGA","eFG_perc_1","TOV_perc_2","DRB_perc","FT.FGA_3","Attendance"
16,24,5,5,11,27,8,28,6,14,2,23,24,12,4,11,15,8,17,7,13,5,5,14,14,10,23,2,24,23,10,4,8,11,8,8,8,17,21,3,3,21,26,18,9,18,7,3,4
14,29,2,15,7,3,12,27,2,9,26,26,9,11,14,8,13,2,21,9,1,17,2,9,2,5,9,1,28,5,6,3,1,29,1,3,5,20,3,10,4,19,19,3,3,26,4,11,5
9,22,13,17,13,11,26,7,4,2,9,17,5,17,9,20,9,1,4,1,7,8,15,4,1,2,7,26,15,24,2,1,2,30,2,11,1,23,9,18,14,17,4,15,1,11,3,10,1
9,18,10,19,19,2,1,15,8,8,24,6,2,15,28,5,21,15,6,18,24,21,2,24,6,13,14,7,16,6,18,7,9,16,9,5,15,13,2,19,13,12,10,1,11,19,17,13,13
7,8,6,30,27,15,23,6,24,16,21,1,7,12,17,12,7,14,23,24,9,12,11,18,4,14,20,30,1,8,13,11,10,9,10,16,9,15,18,30,20,9,6,20,18,1,21,14,27
6,25,12,16,18,29,6,29,20,28,12,29,28,9,1,26,10,18,8,4,15,3,25,6,16,16,3,5,29,29,9,13,16,23,18,21,13,27,29,15,12,18,29,27,12,29,11,5,22
5,30,1,28,12,22,11,30,13,29,4,3,27,22,15,23,4,3,2,5,2,16,9,8,4,1,9,10,5,22,1,6,6,28,6,18,2,22,10,27,7,28,30,8,2,3,9,19,11
4,11,11,14,17,17,7,5,7,3,13,14,10,5,2,9,27,5,28,3,11,1,16,29,7,22,12,11,23,18,8,4,3,20,3,6,6,21,16,16,11,3,5,13,5,23,22,1,8
2,26,18,25,14,21,15,24,19,24,21,9,20,3,18,27,2,13,19,12,2,4,22,1,12,15,1,17,10,20,5,11,14,5,13,19,10,29,15,21,19,8,20,16,17,6,2,9,26
2,27,16,1,10,5,30,17,1,6,27,24,16,25,10,16,11,4,16,10,4,10,1,3,11,4,17,3,19,4,4,8,5,27,5,14,3,18,5,1,6,26,16,14,4,14,1,8,9
2,19,24,12,21,28,3,4,30,27,16,5,21,4,5,24,1,20,13,23,5,6,19,12,3,3,5,4,4,11,7,10,12,8,12,10,14,30,27,12,22,6,3,17,22,2,24,16,2
2,16,4,7,1,14,14,23,9,12,8,14,18,6,3,6,24,12,3,22,25,2,18,16,17,9,6,12,26,17,14,2,4,12,4,2,11,14,13,6,1,7,21,12,10,27,10,2,12
1,17,3,8,3,1,16,26,5,11,10,13,24,16,18,1,26,16,29,8,19,19,8,9,19,20,19,27,20,1,21,9,7,15,7,1,16,2,1,7,2,11,27,2,16,25,5,12,16
1,9,25,9,16,10,5,13,3,5,28,20,6,27,22,13,23,7,11,17,16,23,4,23,25,7,21,25,17,7,17,19,19,25,19,23,12,6,12,9,23,24,17,8,7,22,15,22,30
1,10,15,24,15,26,10,20,10,13,6,10,23,1,6,18,14,9,9,6,14,18,24,15,24,17,11,14,13,28,12,16,13,26,14,17,7,16,28,25,18,1,23,26,8,13,12,17,25
0,6,19,2,8,6,2,22,18,20,15,8,4,10,21,2,25,26,14,25,27,24,13,26,28,8,13,9,6,16,28,15,15,24,15,7,22,3,11,2,8,5,24,4,23,9,26,23,6
16,26,4,23,10,8,7,24,12,21,21,3,10,23,14,7,8,5,27,26,1,12,1,10,3,8,26,3,3,8,4,4,4,19,4,8,4,16,5,22,6,24,19,4,8,3,10,12,4
13,25,3,12,11,2,1,19,3,6,30,16,1,30,23,3,28,4,17,9,16,21,28,29,1,9,25,13,19,11,17,3,3,11,3,2,11,6,1,9,3,30,11,1,4,23,23,16,13
11,30,5,24,7,27,5,30,15,30,2,16,6,17,18,26,7,1,4,1,5,19,22,23,21,1,15,9,5,24,2,10,11,18,12,27,1,21,22,24,10,25,30,17,2,4,20,19,11
10,7,1,7,1,17,19,25,5,9,4,20,24,3,3,2,25,17,10,19,25,2,18,3,15,5,5,16,24,21,16,1,2,15,2,1,10,7,20,7,1,3,24,19,15,24,1,2,12
7,5,15,25,8,30,21,22,6,7,10,14,13,1,4,22,11,3,2,6,10,6,14,5,29,7,1,12,21,30,3,16,5,26,5,20,3,24,30,26,19,1,25,30,3,20,4,8,14
6,16,24,22,6,3,3,6,10,4,29,15,9,7,28,13,12,6,22,16,5,25,2,24,12,6,3,27,10,4,10,5,7,27,9,7,9,19,3,21,23,7,5,2,7,12,21,22,29
5,22,8,19,26,9,16,9,1,2,7,30,11,20,1,15,30,9,25,14,22,1,6,19,7,23,28,8,30,10,15,6,13,5,13,10,13,20,9,18,13,20,6,8,6,30,6,1,8
4,17,10,5,12,10,29,8,27,22,13,6,22,2,25,14,1,14,24,27,2,27,8,6,5,16,2,5,16,5,13,8,10,14,7,4,18,27,11,5,7,2,4,20,20,9,14,29,7
3,15,2,13,24,1,25,17,7,8,1,9,16,25,17,1,26,24,30,30,12,7,20,14,6,27,20,30,6,1,29,11,9,13,6,3,20,2,2,12,2,18,13,3,26,7,9,4,16
3,12,16,28,25,13,13,5,26,16,24,1,12,14,19,20,3,12,13,11,4,22,25,12,8,4,16,22,1,18,5,6,12,7,10,19,7,18,13,28,25,15,3,10,11,1,19,25,20
2,19,11,10,5,25,23,28,11,23,8,10,23,5,6,17,16,11,7,10,17,5,15,6,23,14,7,10,9,20,6,8,6,29,8,16,6,22,21,10,8,12,26,24,10,6,7,5,23
2,8,12,18,4,23,27,1,2,1,5,24,3,6,2,18,19,2,1,3,14,3,4,17,1,2,6,20,26,28,1,1,1,28,1,5,2,28,24,20,14,8,1,26,1,28,8,3,1
1,20,18,2,21,7,22,15,18,18,18,2,27,29,24,11,6,10,20,23,7,24,3,8,16,3,24,18,2,2,11,13,8,30,11,17,5,5,6,2,12,27,18,7,12,2,12,23,5
1,27,22,1,3,12,30,16,12,13,20,25,28,18,5,21,9,15,11,13,11,4,30,1,17,12,9,2,29,13,7,12,15,20,17,15,12,29,10,1,4,23,20,23,14,25,2,7,9
0,14,19,4,19,26,9,27,3,11,15,4,14,8,8,19,17,7,29,12,8,11,12,9,28,13,29,1,14,27,12,13,14,1,14,22,8,13,27,4,15,11,28,25,8,14,5,14,3
0,4,9,29,27,4,17,3,14,3,11,8,4,12,29,4,13,18,22,8,13,29,16,11,10,15,7,23,15,7,23,13,16,12,15,6,19,12,8,29,18,6,2,6,22,16,11,28,6
16,30,1,6,2,10,16,28,16,30,7,3,10,4,8,5,10,6,24,11,4,7,27,20,5,5,17,1,5,10,5,1,2,30,2,2,9,23,8,5,1,13,26,6,9,5,24,13,3
15,19,2,7,4,21,3,29,4,21,1,6,9,17,1,4,26,8,5,12,25,4,22,18,16,8,23,16,12,23,11,3,4,11,3,7,3,6,21,9,2,19,29,13,5,13,3,3,10
11,25,26,15,22,8,19,4,5,1,28,24,4,26,14,23,16,1,2,1,7,8,23,19,8,2,10,20,25,3,2,8,8,29,9,20,1,25,9,11,22,27,4,7,1,26,6,12,25
8,18,21,30,24,16,10,3,24,11,24,4,12,5,17,27,1,3,6,2,2,10,12,3,4,4,6,19,6,13,1,5,7,13,6,17,2,30,17,30,28,8,2,16,3,2,9,21,19
6,9,11,13,1,18,4,22,1,3,15,27,27,23,29,7,25,4,30,7,8,25,11,16,20,24,21,15,24,20,19,10,12,6,11,11,14,4,22,14,10,20,21,17,8,28,1,22,5
6,16,18,1,5,20,13,19,25,26,30,12,30,1,15,11,2,19,25,15,3,16,16,1,19,3,1,3,11,19,7,7,6,27,7,3,18,26,20,1,8,1,19,21,23,4,4,24,7
5,14,25,29,21,19,9,6,14,8,8,23,15,10,12,29,8,9,1,5,16,18,6,11,10,1,6,22,23,17,3,11,14,22,14,23,6,27,19,29,29,10,5,18,4,22,14,16,1
5,29,3,16,3,2,1,25,3,6,21,9,1,27,16,3,27,2,22,6,5,13,28,28,3,6,22,2,13,8,9,2,1,15,1,1,4,10,2,12,3,29,15,1,2,18,17,10,11
3,27,13,8,17,7,24,5,21,10,27,19,18,17,4,17,9,23,3,21,23,1,1,7,2,8,9,12,26,5,6,8,10,28,12,8,17,28,7,7,14,21,3,8,20,24,12,2,16
2,21,7,5,7,27,26,27,11,23,2,14,23,21,3,14,20,13,14,28,16,3,26,21,26,15,25,6,9,25,13,14,13,25,15,18,10,12,25,4,6,24,27,26,16,10,13,4,26
2,28,6,26,15,22,6,30,12,29,12,11,22,13,27,18,15,7,13,4,10,26,8,22,24,11,15,10,8,18,12,16,16,24,17,24,7,16,16,24,12,23,30,14,6,11,20,23,12
2,2,4,19,25,3,28,1,10,2,3,2,3,27,21,1,29,11,29,20,13,21,2,30,6,25,18,28,3,4,23,4,5,10,5,5,11,2,5,22,7,11,1,10,13,8,27,7,14
2,10,9,2,9,4,17,17,7,7,6,9,24,30,18,2,28,17,27,22,21,12,29,5,12,18,28,26,14,9,28,11,9,12,8,6,16,1,4,2,5,30,17,4,19,19,2,9,18
2,24,4,9,16,9,27,15,17,18,4,1,7,14,24,9,3,10,18,26,1,24,13,10,1,14,8,4,1,7,4,5,3,14,4,4,8,19,10,8,4,16,7,15,12,1,15,29,6
0,22,10,3,19,1,30,14,2,4,17,25,14,22,2,6,30,14,20,14,29,2,3,23,14,23,29,13,29,1,22,11,11,9,10,9,20,5,1,3,9,17,13,2,15,29,10,1,8
0,1,28,11,14,23,22,2,13,5,9,8,2,9,9,12,24,15,9,8,28,19,20,29,30,21,18,9,2,22,20,18,19,21,18,22,12,3,27,16,24,3,11,28,11,6,28,15,27
16,13,2,16,1,30,4,26,4,12,1,20,9,11,2,6,25,8,1,10,26,5,20,11,15,6,15,15,25,25,6,1,1,15,1,7,3,10,30,16,2,12,24,27,4,23,4,3,9
13,30,1,15,12,17,14,30,30,30,11,2,18,16,8,12,2,16,26,18,2,10,5,17,2,12,23,1,2,16,5,5,5,25,7,5,11,27,9,6,1,28,29,8,20,1,24,13,4
10,28,17,25,17,16,8,23,1,8,27,27,5,19,13,24,14,1,5,4,5,6,11,9,7,1,8,14,26,6,2,4,7,29,8,23,1,20,13,23,19,26,21,9,1,22,2,9,15
10,15,6,14,14,8,2,18,6,6,13,10,2,25,28,5,18,3,28,14,3,25,1,18,4,13,24,5,9,18,12,2,3,13,3,6,6,9,8,14,6,21,14,5,6,11,9,16,11
6,17,3,8,22,2,26,21,10,14,3,6,12,7,20,1,23,5,14,1,18,22,12,29,11,25,3,3,7,3,14,3,2,14,2,1,9,7,2,8,5,5,20,2,5,13,26,17,7
6,9,10,19,5,25,25,19,17,20,8,11,15,15,13,16,7,18,12,5,14,13,23,4,20,18,16,7,4,23,9,14,15,30,15,17,8,18,26,18,11,13,17,30,15,2,8,15,18
5,29,12,10,11,10,18,28,28,29,24,4,28,12,21,21,4,17,17,23,6,21,19,21,13,11,10,9,6,11,11,14,19,23,20,14,20,25,5,4,10,22,27,7,18,3,28,25,17
5,3,15,3,10,13,1,3,4,1,9,30,14,5,6,4,28,11,2,11,29,9,26,25,19,7,19,6,30,13,22,5,8,9,6,2,16,12,18,10,14,3,3,14,7,30,13,7,5
3,24,13,2,13,22,6,29,18,28,2,9,26,24,7,15,19,21,15,20,19,7,4,16,25,24,26,12,10,20,15,18,17,18,16,18,14,13,21,2,9,27,28,16,19,8,17,8,28
3,11,4,12,2,23,3,22,23,26,6,5,21,3,10,8,10,22,24,15,13,19,17,24,10,15,17,4,5,21,20,10,12,7,11,3,22,16,23,13,4,6,23,20,24,5,25,22,2
3,6,9,6,4,24,19,17,2,5,7,13,10,22,22,10,22,4,9,3,16,20,25,14,24,8,22,10,11,26,10,8,4,12,4,12,4,6,29,8,8,15,18,28,3,16,5,18,6
3,22,7,30,19,29,23,9,21,19,14,14,16,4,5,27,3,9,11,12,4,4,27,2,1,4,7,19,20,29,3,9,14,6,13,15,7,30,26,30,18,10,2,29,12,12,7,10,20
3,23,22,11,9,7,5,12,20,17,21,25,23,9,29,13,6,10,6,16,10,24,7,8,5,10,9,11,13,5,7,11,9,28,12,10,10,23,6,11,15,11,11,6,10,7,12,26,10
2,26,5,1,16,1,28,15,3,4,18,17,3,29,15,2,29,7,25,9,21,11,15,28,3,17,28,26,22,1,23,5,6,8,5,4,13,5,1,1,3,29,7,1,8,27,20,6,13
1,27,30,28,24,15,7,11,9,10,10,21,7,18,4,30,9,2,3,8,7,3,9,13,6,2,14,28,16,10,1,11,13,26,14,28,2,29,13,25,30,24,9,9,2,15,11,4,1
0,21,25,27,23,11,24,25,7,16,16,29,8,1,1,23,16,6,16,24,9,2,18,1,28,9,2,21,28,9,4,16,16,27,17,24,5,21,10,27,25,1,26,15,9,26,1,2,25
16,3,1,4,1,26,9,23,4,6,1,4,2,18,13,1,27,1,7,5,15,24,27,27,18,9,25,2,5,27,15,1,1,16,1,2,1,1,26,7,1,14,21,25,1,7,18,22,7
14,24,8,2,5,12,18,11,21,18,10,19,25,17,5,8,16,20,15,9,21,1,11,12,4,30,15,10,22,11,13,7,5,23,6,3,18,25,10,2,4,18,6,7,19,22,16,1,2
9,12,20,1,14,2,27,7,18,14,9,3,10,28,27,6,25,12,18,1,21,19,17,29,13,12,29,22,3,7,17,3,7,8,7,12,8,2,2,1,7,28,7,6,7,5,28,16,14
8,27,4,7,2,24,5,30,22,28,2,5,15,16,1,10,12,6,30,7,2,2,28,24,14,24,8,18,6,20,5,2,4,30,4,6,6,15,21,4,3,19,30,15,13,3,22,6,17
7,13,2,5,3,4,28,28,10,20,3,15,9,2,24,2,7,11,25,15,5,28,5,9,16,21,2,1,15,3,16,3,2,12,2,1,15,10,6,3,2,2,28,8,14,16,9,27,9
6,18,22,16,10,4,3,6,7,3,14,28,5,12,4,15,29,4,3,3,27,8,15,27,9,5,12,25,29,6,9,9,10,24,10,11,11,23,5,16,21,12,5,3,2,29,19,2,1
6,23,9,29,22,14,7,21,15,21,15,6,24,7,9,20,5,10,21,18,3,2,7,8,11,4,8,20,8,15,2,5,8,9,8,13,3,26,13,29,20,10,17,11,12,6,11,4,18
6,21,6,27,9,22,21,19,5,8,6,20,16,24,17,17,15,2,19,14,6,20,4,5,10,3,21,6,19,21,10,12,14,27,15,22,5,18,22,28,14,23,15,23,5,19,3,18,13
3,11,3,15,6,23,4,27,8,15,5,11,8,13,8,7,17,13,1,24,20,11,11,4,15,7,19,9,16,19,3,5,3,14,3,7,2,17,24,15,5,15,25,18,6,15,4,9,12
2,17,16,20,26,18,20,24,17,22,20,23,25,10,11,21,20,22,24,23,16,9,2,21,19,27,17,11,20,18,18,18,22,19,24,20,23,24,16,20,18,13,23,17,25,20,20,5,20
2,26,7,26,7,25,12,17,25,24,7,1,11,29,28,22,4,5,26,8,1,22,6,22,7,18,27,16,1,17,8,15,15,26,16,26,4,13,23,25,13,29,14,21,8,1,24,25,29
1,8,5,8,13,16,16,20,23,23,8,10,20,4,15,3,21,16,28,27,11,14,19,30,26,17,7,4,4,2,25,9,11,7,9,5,20,9,19,9,6,3,24,20,21,4,29,14,3
1,5,17,3,8,28,1,16,1,2,12,27,18,9,2,9,30,7,2,6,29,7,22,18,23,6,21,3,30,28,11,8,6,13,5,9,10,12,30,6,9,9,20,27,3,30,7,3,8
0,1,21,13,27,27,14,12,11,13,4,8,30,10,20,13,23,17,10,4,24,17,20,13,25,14,6,21,10,26,21,16,18,28,19,18,12,5,28,13,22,7,16,29,15,11,14,15,16
0,19,10,23,4,20,17,10,19,16,11,25,1,6,6,16,11,23,3,2,28,10,24,10,5,8,3,28,28,29,11,13,13,10,13,8,22,27,18,23,11,8,4,19,16,28,13,11,24
0,14,12,9,11,7,2,15,27,26,22,18,23,3,18,4,10,26,14,13,18,18,3,20,6,19,4,19,13,13,19,11,9,29,12,4,25,21,8,8,8,4,11,4,24,13,25,16,5
16,19,9,3,7,24,21,12,11,9,13,28,27,10,14,8,5,14,7,13,7,11,5,5,8,8,7,7,24,12,4,3,4,30,4,3,10,28,22,3,3,13,9,23,12,20,5,14,2
15,3,1,1,1,23,16,21,1,4,1,9,2,24,19,1,29,3,13,2,25,23,17,25,9,16,24,3,15,19,19,1,1,28,1,1,5,2,25,2,1,20,19,25,2,22,15,17,7
11,7,3,17,17,7,10,1,2,1,10,21,4,26,16,2,27,5,14,8,21,18,16,22,1,10,26,11,26,15,15,5,3,24,3,2,13,10,8,19,4,24,1,5,5,27,17,15,14
10,28,15,19,5,3,12,19,18,16,29,15,11,5,9,14,4,11,12,29,3,6,8,8,4,12,1,20,23,3,3,4,5,29,6,5,11,29,3,15,12,7,12,2,14,19,8,10,4
7,27,4,28,27,14,23,22,6,13,23,27,1,14,4,23,13,9,3,12,19,5,27,10,6,2,10,4,27,20,5,7,12,21,12,14,9,25,11,27,11,18,17,13,7,26,6,7,6
6,24,2,26,2,28,2,25,5,15,3,11,6,4,1,10,3,4,1,1,10,2,19,4,5,4,8,2,14,22,1,2,2,25,2,4,1,24,26,25,2,9,23,21,1,8,3,2,12
5,8,16,6,4,14,19,4,8,5,21,25,18,17,26,6,14,16,9,26,18,27,2,15,13,11,15,16,25,22,20,12,13,11,13,6,20,13,17,7,8,16,3,19,15,25,13,26,8
4,15,11,7,15,30,8,30,13,24,2,3,5,22,7,12,26,1,16,6,5,7,13,27,25,15,23,14,5,29,6,7,7,20,7,22,2,8,29,6,6,22,30,29,3,5,25,5,23
3,16,27,4,8,11,5,28,4,14,19,22,12,1,3,11,18,12,23,14,7,4,25,2,29,23,2,21,21,14,9,7,9,26,9,9,8,17,13,4,14,1,29,7,13,24,1,4,18
3,13,17,20,14,17,15,17,10,12,22,4,17,20,11,17,16,6,19,3,9,13,11,17,19,4,16,9,7,13,8,11,11,19,11,25,3,11,18,20,20,19,20,17,10,6,16,16,22
2,1,24,11,28,12,6,3,15,6,6,2,22,12,29,5,20,7,11,4,15,28,14,24,22,6,14,24,2,10,13,7,8,27,8,10,4,4,20,13,24,4,10,14,8,4,26,27,13
2,25,6,9,6,4,29,29,17,25,11,7,10,3,24,7,15,2,10,5,6,25,10,28,24,7,4,1,9,2,7,6,6,22,5,8,6,14,4,9,5,3,28,8,4,11,28,24,10
1,18,20,5,23,21,3,26,9,19,18,26,29,2,8,16,18,15,26,9,11,12,4,16,26,14,11,8,18,8,14,14,16,5,16,11,17,22,19,5,13,2,25,12,17,17,14,8,3
1,23,14,2,19,1,27,7,27,20,16,1,13,27,28,4,21,19,29,21,12,24,15,30,10,29,29,13,1,1,25,17,15,12,15,7,21,7,1,1,7,27,6,3,23,2,30,22,15
0,5,25,10,22,5,30,2,11,2,27,24,30,9,6,19,11,22,2,16,28,3,28,1,16,9,4,9,22,5,12,12,14,23,14,13,12,21,5,10,22,5,2,21,16,23,2,6,25
0,22,23,25,29,9,9,8,30,28,25,6,21,6,27,24,1,18,28,22,1,26,24,12,12,13,3,29,3,9,11,14,20,13,20,19,19,27,6,26,29,8,8,4,24,1,20,30,20
16,9,1,5,3,18,11,20,3,7,1,1,1,22,12,1,29,1,20,1,17,15,3,30,6,14,28,4,1,22,11,1,1,22,1,1,2,4,20,6,1,22,18,21,1,8,29,11,8
13,19,5,2,2,13,23,21,7,12,13,30,25,14,4,4,26,16,24,18,22,3,20,27,16,29,8,8,28,6,20,5,7,24,7,3,21,15,15,2,2,14,20,20,18,29,22,3,2
9,18,16,3,14,15,3,22,22,27,4,18,23,8,21,7,15,9,14,2,14,25,9,25,20,12,17,23,17,11,15,4,8,26,8,8,13,13,17,3,9,9,25,9,5,17,27,23,12
8,24,6,25,1,24,7,16,12,11,7,11,2,10,7,14,9,4,3,5,10,7,14,9,5,6,14,5,12,17,2,2,2,16,2,9,1,27,18,24,10,15,14,18,2,9,6,6,13
7,10,3,20,8,22,12,13,24,22,6,2,24,20,27,5,12,24,16,20,16,21,1,20,9,15,12,10,3,18,21,9,9,29,9,7,20,11,25,23,6,17,13,23,24,2,24,17,20
6,7,12,1,15,1,20,9,15,8,3,8,20,25,15,2,27,23,25,4,27,10,23,23,17,27,24,17,5,8,26,3,3,12,3,2,18,3,2,1,3,24,10,2,21,11,21,8,21
4,22,11,22,13,6,8,12,23,18,30,4,12,4,23,10,4,6,18,12,4,18,24,13,7,8,3,13,10,10,8,5,5,30,6,6,11,24,6,22,12,5,8,1,9,7,16,24,3
4,30,9,17,9,16,24,19,13,19,28,29,8,13,8,28,3,2,2,17,9,6,10,4,2,1,8,3,29,12,1,5,6,13,5,12,3,30,8,11,8,23,16,12,3,25,4,9,6
3,26,2,11,7,3,27,24,11,21,15,20,21,7,14,6,14,11,11,8,12,16,16,14,13,17,7,1,22,1,12,5,4,11,4,5,12,16,1,9,4,6,23,3,6,21,10,13,10
2,22,18,16,23,5,28,14,10,9,10,7,14,28,6,22,23,5,29,16,6,4,16,22,15,19,29,22,2,3,10,11,19,25,20,27,4,10,4,15,19,28,15,13,8,3,19,5,26
2,8,25,29,24,19,6,2,9,3,14,15,16,12,2,23,22,14,9,6,24,2,11,17,12,23,10,12,20,25,6,15,14,27,14,20,6,20,21,28,30,10,4,19,10,20,11,2,1
2,25,30,14,17,12,12,10,27,24,21,13,22,6,29,29,1,2,21,11,1,29,2,6,11,3,6,18,13,4,3,11,13,5,11,19,7,28,11,13,28,7,9,11,7,5,8,29,23
2,29,4,24,10,20,19,25,28,29,5,10,6,18,17,20,5,17,22,9,8,14,12,19,8,26,13,9,9,24,9,13,16,21,17,13,19,26,16,21,7,21,22,17,20,4,26,19,27
1,5,17,18,30,4,26,1,7,1,25,14,10,24,24,11,13,19,4,14,23,24,6,5,4,7,25,28,18,5,16,10,11,8,10,16,10,9,4,18,24,19,1,10,13,18,3,21,14
0,20,10,27,4,23,2,23,21,26,16,9,9,16,13,15,11,10,25,13,5,20,30,24,19,11,20,16,6,20,14,13,17,28,19,15,16,18,19,26,13,16,24,16,15,6,25,25,22
0,13,14,10,6,11,14,15,14,14,23,25,10,15,26,8,18,12,6,27,18,28,29,12,22,4,19,24,26,16,25,15,18,9,16,11,24,14,14,12,11,13,17,14,11,27,12,28,9
16,24,1,17,1,22,1,28,7,17,1,9,1,26,15,1,29,3,13,10,22,19,8,30,1,17,30,1,14,25,18,3,3,22,3,3,11,5,20,15,1,28,23,16,5,21,25,11,7
12,26,4,5,6,9,10,27,17,23,12,24,28,10,5,5,25,28,29,22,24,4,5,18,17,28,12,3,26,7,26,6,14,28,14,5,29,12,8,4,3,11,27,6,28,26,17,2,2
11,25,21,10,2,20,17,20,6,8,20,23,18,15,17,20,12,2,9,1,6,15,12,13,20,4,7,6,19,22,3,4,6,29,7,18,1,22,18,8,15,15,18,20,2,14,11,16,11
11,27,15,1,13,3,9,24,10,18,26,5,15,12,12,2,14,16,11,7,19,6,3,3,15,11,11,5,10,11,6,1,1,26,1,1,6,13,3,1,2,12,21,1,13,11,3,4,17
5,3,2,18,13,17,15,26,3,10,3,8,3,22,8,3,30,9,25,8,28,9,28,29,23,20,22,4,11,13,29,8,13,6,12,10,14,1,22,20,4,17,28,22,9,22,20,8,25
5,13,8,12,10,10,23,3,1,1,2,7,9,30,29,7,22,1,17,2,5,29,2,20,4,5,26,21,15,11,11,5,4,25,5,12,4,4,10,13,7,30,3,12,1,18,9,28,3
5,29,13,13,12,15,12,23,11,20,21,4,9,20,16,19,3,6,3,17,4,10,19,3,10,1,24,11,6,8,1,8,5,7,4,16,2,25,12,10,9,24,17,8,6,4,4,15,15
4,6,7,3,18,13,4,14,11,14,6,18,2,6,27,4,14,5,2,11,21,27,16,17,5,7,5,18,12,16,6,2,2,30,2,2,5,14,16,5,5,4,11,11,3,15,13,25,4
3,14,6,26,9,27,11,17,25,22,23,3,25,5,7,17,11,18,23,5,12,5,7,21,8,12,3,25,3,26,9,8,12,24,13,11,13,23,26,26,12,6,12,24,19,2,26,7,27
3,28,3,25,22,7,8,29,28,30,14,2,5,11,26,15,4,20,7,25,15,25,27,19,8,18,4,7,2,16,16,15,20,21,20,9,19,20,4,25,8,14,26,5,20,3,29,29,24
2,4,18,11,24,4,29,1,26,5,28,1,11,13,21,12,7,12,24,19,3,13,17,11,6,14,15,9,1,3,10,8,7,15,6,7,9,17,6,12,17,9,1,14,18,1,16,19,13
2,19,11,23,4,14,15,13,22,21,4,10,22,18,25,13,9,15,14,6,12,26,10,16,7,10,19,13,6,15,15,17,15,18,15,14,15,18,15,24,11,21,9,15,15,9,18,26,14
1,23,17,9,16,25,22,21,13,18,17,21,6,16,20,23,6,7,6,13,8,22,26,6,19,3,13,10,18,21,4,15,16,27,16,22,7,27,24,7,14,18,19,25,7,13,6,27,6
1,15,4,30,19,5,2,7,27,24,18,6,24,2,3,8,10,29,18,18,18,11,24,15,3,21,1,12,4,5,17,12,10,9,10,4,27,24,5,30,13,1,4,3,27,5,24,13,21
1,22,16,27,26,18,13,6,14,11,15,14,4,4,1,27,8,8,4,4,16,3,9,8,14,8,14,2,20,18,1,12,8,17,8,17,3,28,17,27,26,5,6,18,8,12,8,3,12
0,8,20,19,11,18,3,9,5,3,30,26,7,8,13,16,16,4,5,16,11,18,4,10,16,2,10,22,29,23,5,7,9,16,9,15,8,19,19,18,23,7,10,17,4,29,5,18,8
16,16,5,11,6,21,3,24,9,17,13,9,9,16,17,8,16,5,10,8,10,12,13,18,8,15,17,6,10,19,9,2,3,29,3,5,5,15,21,10,3,15,22,14,4,9,15,11,4
14,13,1,8,3,28,5,21,3,11,1,15,1,21,22,2,24,3,25,11,7,24,23,21,5,12,19,1,19,27,16,3,2,19,2,1,13,10,28,8,1,18,16,23,3,20,14,21,6
10,6,3,2,15,15,14,25,1,1,7,17,2,13,5,1,30,1,30,22,4,4,1,9,20,19,3,12,21,21,11,1,1,30,1,4,1,2,17,3,2,10,27,15,1,25,1,1,17
8,7,12,18,9,13,2,3,7,3,25,25,16,11,11,6,19,13,3,20,22,15,20,15,1,3,10,18,29,16,14,5,7,9,6,3,16,18,14,20,13,11,1,7,12,30,9,16,7
7,11,13,16,17,25,20,2,17,8,2,13,24,8,7,20,4,15,13,1,6,9,2,7,2,16,14,14,17,20,6,4,8,8,7,6,10,27,27,15,15,8,2,27,15,15,8,15,12
7,20,8,19,8,2,16,11,2,4,4,19,11,25,20,4,26,10,6,4,29,26,17,10,4,5,21,4,27,6,19,7,11,26,11,8,15,8,2,18,8,24,8,2,6,28,6,22,1
6,26,24,1,12,7,9,14,29,28,28,5,18,6,25,11,5,19,4,2,20,20,16,23,10,7,11,8,9,24,10,5,5,13,5,2,17,26,6,1,4,9,14,3,18,7,28,25,16
5,9,14,7,7,29,4,20,16,22,5,4,10,3,12,14,9,4,22,6,5,16,12,16,22,8,2,2,7,26,8,9,6,27,8,10,7,16,30,9,7,4,24,28,9,8,18,17,11
3,17,2,30,1,24,1,27,12,21,16,30,21,1,1,18,18,18,18,18,13,1,6,4,15,18,8,3,30,25,12,11,12,15,12,7,19,22,24,30,6,2,26,17,20,29,4,2,13
2,24,7,28,2,1,8,22,8,13,18,23,22,22,28,5,25,14,8,5,28,28,24,28,11,11,25,30,24,1,25,11,13,10,13,9,21,7,1,27,12,21,19,1,8,27,25,27,20
1,14,25,5,14,4,24,10,10,7,21,27,28,26,23,15,27,12,9,3,30,16,21,24,18,10,22,22,20,7,18,14,15,23,15,19,14,11,5,5,18,25,10,6,7,23,21,10,30
1,1,18,13,22,6,28,1,11,2,23,1,12,14,27,7,12,17,12,16,11,23,9,8,26,20,24,16,1,3,15,9,9,14,9,17,4,6,10,16,22,6,3,20,17,1,7,23,15
